,year,sex,town,age,paes,major,faculty,grade,VR,SR,AR,NA,MR,CSA,habits,approved,sch_type
21,2017,Femenino,Soyapango,22,6.71,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,7.4,50,5,20,70,30,5,3,Aprobado,Público
22,2017,Femenino,Soyapango,22,7.11,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.6,35,10,35,60,20,5,7,Aprobado,Público
23,2017,Femenino,Soyapango,22,4.9,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,9.1,40,20,50,85,75,5,9,Aprobado,Público
24,2017,Femenino,Soyapango,23,5.3,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.7,90,50,10,85,20,5,1,Aprobado,Privado
25,2018,Femenino,Soyapango,24,6.54,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.0,15,30,15,40,75,5,3,Aprobado,Público
26,2018,Femenino,Soyapango,21,6.95,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.5,85,80,60,15,60,5,3,Aprobado,Público
27,2018,Femenino,Soyapango,25,6.64,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,8.9,90,50,65,60,65,5,1,Aprobado,Público
28,2018,Femenino,Soyapango,23,5.69,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.1,30,10,40,5,40,5,5,Aprobado,Privado
29,2018,Femenino,Soyapango,21,6.18,Licenciatura en Diseño Industrial y de Productos,Facultad de CC. y Humanidades,8.3,65,10,25,65,55,5,11,Aprobado,Privado
30,2019,Femenino,Soyapango,22,5.45,Profesorado en Educación Básica para Primero y Segundo Ciclos,Facultad de CC. y Humanidades,8.7,60,5,20,75,40,5,8,Aprobado,Público
31,2019,Femenino,Soyapango,20,5.89,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,8.7,40,20,30,75,25,5,9,Aprobado,Público
32,2019,Femenino,Soyapango,24,4.5,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,7.3,30,10,15,20,15,5,17,Aprobado,Público
33,2019,Femenino,Soyapango,20,2.86,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,7.3,20,10,5,35,50,5,5,Aprobado,Público
34,2019,Femenino,Soyapango,20,6.7,Licenciatura en Diseño Gráfico,Facultad de CC. y Humanidades,8.1,70,50,50,70,35,5,6,Aprobado,Público
35,2019,Femenino,Soyapango,22,3.56,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.0,20,50,25,30,30,5,2,Aprobado,Privado
36,2019,Femenino,Soyapango,20,5.2,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,7.2,55,15,20,40,35,5,4,Aprobado,Público
37,2019,Femenino,Soyapango,22,7.89,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,9.4,90,40,65,80,50,5,15,Aprobado,Público
38,2019,Femenino,Soyapango,21,7.27,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.3,65,35,30,5,20,5,19,Aprobado,Privado
39,2019,Femenino,Soyapango,20,7.08,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.6,65,30,30,30,20,5,2,Aprobado,Privado
40,2019,Femenino,Soyapango,20,6.74,Licenciatura en Diseño Gráfico,Facultad de CC. y Humanidades,7.7,55,30,5,80,10,5,4,Aprobado,Privado
41,2019,Femenino,Soyapango,21,8.12,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.6,80,50,5,75,45,5,3,Aprobado,Privado
42,2019,Femenino,Soyapango,22,7.12,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,9.5,30,25,30,15,45,5,5,Aprobado,Privado
43,2019,Femenino,Soyapango,20,5.05,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,7.5,55,30,30,50,45,5,8,Aprobado,Público
44,2019,Femenino,Soyapango,32,6.9,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.7,30,10,5,75,30,5,8,Aprobado,Público
45,2020,Femenino,Soyapango,20,6.21,Licenciatura en Diseño Gráfico,Facultad de CC. y Humanidades,7.3,40,5,20,40,35,5,3,Aprobado,Privado
46,2020,Femenino,Soyapango,20,5.2,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.4,35,15,45,65,25,5,11,Aprobado,Privado
47,2020,Femenino,Soyapango,19,2.63,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.2,15,10,10,50,20,5,1,Aprobado,Privado
48,2020,Femenino,Soyapango,20,6.0,Técnico en Multimedia,Facultad de CC. y Humanidades,8.5,55,35,45,50,65,5,4,Aprobado,Privado
49,2020,Femenino,Soyapango,20,5.66,Técnico en Multimedia,Facultad de CC. y Humanidades,8.2,80,15,10,35,55,5,3,Aprobado,Privado
50,2020,Femenino,Soyapango,20,8.01,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,9.4,85,20,60,85,10,5,10,Aprobado,Público
51,2020,Femenino,Soyapango,20,3.6,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.8,15,25,5,60,45,5,8,Aprobado,Público
52,2020,Femenino,Soyapango,19,8.15,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,9.3,90,60,55,70,45,5,19,Aprobado,Público
53,2020,Femenino,Soyapango,19,6.0,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.5,70,20,30,65,50,5,13,Aprobado,Privado
54,2020,Femenino,Soyapango,28,6.34,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,8.7,70,25,30,40,15,5,5,Aprobado,Público
55,2020,Femenino,Soyapango,20,1.94,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,7.6,35,20,15,35,20,5,6,Aprobado,Público
56,2020,Femenino,Soyapango,18,8.04,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.5,75,80,80,85,35,5,5,Aprobado,Privado
57,2020,Femenino,Soyapango,19,7.94,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,9.0,50,25,50,75,35,5,18,Aprobado,Público
58,2020,Femenino,Soyapango,20,6.0,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.1,55,75,40,60,35,5,8,Aprobado,Privado
59,2020,Femenino,Soyapango,19,5.66,Técnico en Multimedia,Facultad de CC. y Humanidades,8.7,80,15,35,65,45,5,3,Aprobado,Público
60,2020,Femenino,Soyapango,27,7.69,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,9.5,90,10,10,35,25,5,4,Aprobado,Público
61,2020,Femenino,Soyapango,20,8.01,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.7,80,10,35,80,70,5,2,Aprobado,Privado
62,2020,Femenino,Soyapango,19,4.3,Licenciatura en Diseño Gráfico,Facultad de CC. y Humanidades,7.6,70,5,75,40,70,5,4,Aprobado,Privado
63,2021,Femenino,Soyapango,19,1.0,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.4,50,85,55,90,10,5,14,Aprobado,Privado
64,2021,Femenino,Soyapango,18,1.5,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,9.5,55,10,25,90,45,5,8,Aprobado,Privado
65,2021,Femenino,Soyapango,19,1.0,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,7.9,75,25,30,85,75,5,0,Aprobado,Público
66,2021,Femenino,Soyapango,19,8.11,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,9.6,90,95,75,100,80,5,0,Aprobado,Público
67,2021,Femenino,Soyapango,20,0.0,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,8.7,80,45,15,80,15,5,0,Aprobado,Público
68,2021,Femenino,Soyapango,18,1.0,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.9,40,25,25,80,15,5,0,Aprobado,Público
69,2021,Femenino,Soyapango,18,1.0,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.8,80,20,10,65,60,5,0,Aprobado,Privado
70,2021,Femenino,Soyapango,18,1.5,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,8.8,80,15,45,85,25,5,0,Aprobado,Público
71,2021,Femenino,Soyapango,19,1.0,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.0,65,20,35,95,20,5,0,Aprobado,Privado
72,2021,Femenino,Soyapango,19,0.0,Profesorado en Educación Básica para Primero y Segundo Ciclos,Facultad de CC. y Humanidades,9.0,95,30,35,95,70,5,0,Aprobado,Privado
73,2021,Femenino,Soyapango,18,0.0,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,8.3,70,35,40,90,60,5,0,Aprobado,Privado
74,2017,Masculino,Soyapango,23,7.66,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,7.9,50,20,70,40,35,5,11,Aprobado,Público
75,2017,Masculino,Soyapango,22,4.5,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,7.9,70,20,30,40,5,5,6,Aprobado,Público
76,2017,Masculino,Soyapango,23,4.69,Licenciatura en Diseño Gráfico,Facultad de CC. y Humanidades,8.0,60,25,25,80,15,5,12,Aprobado,Privado
77,2017,Masculino,Soyapango,24,3.39,Licenciatura en Idiomas con especialidad en la Enseñanza del Inglés,Facultad de CC. y Humanidades,7.6,50,5,10,40,10,5,4,Aprobado,Público
78,2018,Masculino,Soyapango,23,7.86,Licenciatura en Diseño Gráfico,Facultad de CC. y Humanidades,8.2,85,90,45,10,85,5,2,Aprobado,Público
79,2019,Masculino,Soyapango,21,3.01,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.0,40,5,5,10,10,5,9,Aprobado,Privado
80,2020,Masculino,Soyapango,18,4.09,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,7.7,80,25,10,90,50,5,7,Aprobado,Privado
81,2020,Masculino,Soyapango,21,4.52,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,8.5,20,10,10,15,30,5,6,Aprobado,Público
82,2020,Masculino,Soyapango,20,6.93,Licenciatura en Diseño Industrial y de Productos,Facultad de CC. y Humanidades,8.7,35,95,70,35,85,5,4,Aprobado,Público
83,2020,Masculino,Soyapango,22,3.39,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,8.4,15,5,15,65,30,5,1,Aprobado,Privado
84,2020,Masculino,Soyapango,20,8.19,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.9,95,55,75,95,35,5,2,Aprobado,Privado
85,2020,Masculino,Soyapango,20,4.68,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,7.4,75,10,5,35,35,5,7,Aprobado,Privado
86,2020,Masculino,Soyapango,19,7.64,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,9.1,50,5,15,50,40,5,1,Aprobado,Público
87,2020,Masculino,Soyapango,20,2.63,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,7.5,15,5,5,15,5,5,3,Aprobado,Privado
88,2021,Masculino,Soyapango,19,7.58,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,7.7,55,20,35,95,5,5,5,Aprobado,Público
89,2021,Masculino,Soyapango,19,1.5,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,9.2,35,20,5,55,20,5,2,Aprobado,Privado
90,2021,Masculino,Soyapango,20,8.42,Licenciatura en Diseño Industrial y de Productos,Facultad de CC. y Humanidades,9.2,100,85,90,100,80,5,0,Aprobado,Privado
91,2021,Masculino,Soyapango,18,1.5,Licenciatura en Idiomas con especialidad en la Adquisición de Lenguas Extranjeras,Facultad de CC. y Humanidades,9.5,40,5,10,90,10,5,0,Aprobado,Privado
92,2021,Masculino,Soyapango,18,1.0,Licenciatura en Diseño Industrial y de Productos,Facultad de CC. y Humanidades,7.3,80,5,5,80,55,5,0,Aprobado,Privado
93,2017,Masculino,Soyapango,23,5.77,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,8.0,85,20,70,55,10,5,3,Aprobado,No clasificable
94,2017,Masculino,Soyapango,22,8.29,Ingeniería en Ciencias de la Computación,Facultad de Ingenieria,7.6,90,10,70,50,50,5,2,Aprobado,Público
95,2017,Femenino,Soyapango,23,7.98,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,7.9,20,30,10,90,20,5,5,Aprobado,Privado
96,2017,Femenino,Soyapango,23,3.11,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,7.9,40,10,10,50,65,5,9,Aprobado,Público
97,2017,Masculino,Soyapango,23,8.11,Ingeniería Industrial,Facultad de Ingenieria,8.6,55,20,35,75,40,5,3,Aprobado,Privado
98,2017,Femenino,Soyapango,23,7.4,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,8.5,75,75,70,90,70,5,2,Aprobado,Privado
99,2017,Masculino,Soyapango,24,7.78,Ingeniería Industrial,Facultad de Ingenieria,7.8,85,25,50,60,75,5,6,Aprobado,Público
100,2017,Masculino,Soyapango,23,8.95,Ingeniería Biomédica,Facultad de Ingenieria,8.7,55,75,5,95,50,5,5,Aprobado,Privado
101,2017,Masculino,Soyapango,22,8.24,Ingeniería en Aeronáutica,Facultad de Aeronáutica,7.7,85,80,75,95,50,5,3,Aprobado,Público
102,2017,Femenino,Soyapango,23,6.58,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,8.4,55,30,40,85,20,5,2,Aprobado,Público
103,2017,Masculino,Soyapango,23,7.7,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,7.1,85,25,20,90,20,5,1,Aprobado,Privado
104,2017,Femenino,Soyapango,23,7.93,Ingeniería Industrial,Facultad de Ingenieria,8.7,65,50,75,65,45,5,7,Aprobado,Privado
105,2017,Femenino,Soyapango,23,8.03,Ingeniería Industrial,Facultad de Ingenieria,7.3,90,60,60,75,65,5,6,Aprobado,Público
106,2017,Masculino,Soyapango,22,7.33,Ingeniería en Ciencias de la Computación,Facultad de Ingenieria,7.7,70,10,55,70,55,5,20,Aprobado,Privado
107,2017,Masculino,Soyapango,23,7.82,Ingeniería en Ciencias de la Computación,Facultad de Ingenieria,7.7,85,75,55,95,25,5,4,Aprobado,Privado
108,2017,Femenino,Soyapango,22,3.7,Técnico en Ingeniería en Computación,Facultad de Ingenieria,7.5,40,30,30,60,35,5,7,Aprobado,Público
109,2017,Masculino,Soyapango,22,8.16,Ingeniería Industrial,Facultad de Ingenieria,8.3,75,90,60,40,85,5,6,Aprobado,Privado
110,2017,Masculino,Soyapango,23,7.82,Ingeniería Industrial,Facultad de Ingenieria,7.8,50,10,55,55,25,5,2,Aprobado,Público
111,2017,Masculino,Soyapango,24,8.0,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,7.4,85,85,80,100,65,5,2,Aprobado,Público
112,2017,Masculino,Soyapango,22,7.52,Licenciatura en Contaduría Pública,Facultad de CC. Económicas,7.8,50,25,30,95,15,5,8,Aprobado,Público
113,2017,Femenino,Soyapango,22,8.0,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,8.0,65,50,40,65,55,5,6,Aprobado,Privado
114,2017,Femenino,Soyapango,25,3.66,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,8.0,55,10,15,80,30,5,3,Aprobado,Privado
115,2017,Masculino,Soyapango,26,7.68,Ingeniería Eléctrica,Facultad de Ingenieria,7.3,95,95,80,5,100,5,9,Aprobado,Público
116,2017,Masculino,Soyapango,23,7.57,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,7.6,80,30,10,35,5,5,19,Aprobado,Privado
117,2018,Femenino,Soyapango,22,8.0,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,8.2,95,80,70,70,80,5,2,Aprobado,Público
118,2018,Femenino,Soyapango,22,6.39,Ingeniería en Ciencias de la Computación,Facultad de Ingenieria,7.8,35,25,10,85,20,5,3,Aprobado,Público
119,2018,Masculino,Soyapango,22,6.54,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,7.3,40,10,5,55,35,5,7,Aprobado,Privado
120,2018,Masculino,Soyapango,22,5.69,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,7.8,55,5,30,35,60,5,2,Aprobado,Público
121,2018,Masculino,Soyapango,23,7.33,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,8.3,35,15,30,80,5,5,4,Aprobado,Privado
122,2018,Femenino,Soyapango,20,6.73,Ingeniería Industrial,Facultad de Ingenieria,7.8,70,85,45,75,45,5,6,Aprobado,Público
123,2018,Femenino,Soyapango,21,7.7,Ingeniería Industrial,Facultad de Ingenieria,7.4,65,40,75,90,80,5,2,Aprobado,Público
124,2018,Masculino,Soyapango,22,7.8,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,7.7,95,15,45,35,30,5,6,Aprobado,Privado
125,2018,Femenino,Soyapango,23,3.83,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,7.9,20,10,10,20,20,5,11,Aprobado,Privado
126,2018,Femenino,Soyapango,21,8.05,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,8.3,90,35,35,65,55,5,5,Aprobado,Privado
127,2018,Masculino,Soyapango,23,7.51,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,7.7,75,10,30,55,50,5,3,Aprobado,Privado
128,2018,Masculino,Soyapango,23,7.33,Ingeniería en Ciencias de la Computación,Facultad de Ingenieria,8.2,70,15,20,65,10,5,6,Aprobado,Público
129,2019,Masculino,Soyapango,21,6.95,Licenciatura en Contaduría Pública,Facultad de CC. Económicas,8.2,50,15,15,75,25,5,8,Aprobado,Público
130,2019,Femenino,Soyapango,20,7.89,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,8.2,70,60,80,85,10,5,14,Aprobado,Público
131,2019,Femenino,Soyapango,21,8.01,Ingeniería Industrial,Facultad de Ingenieria,7.3,5,35,20,90,80,5,4,Aprobado,Público
132,2019,Masculino,Soyapango,30,7.4,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,7.6,85,40,25,40,40,5,3,Aprobado,Público
133,2019,Masculino,Soyapango,21,8.48,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,8.3,35,95,70,80,50,5,12,Aprobado,Público
134,2019,Femenino,Soyapango,19,7.08,Técnico en Ortesis y Prótesis,Facultad de CC. de la Rehabilitación,7.6,75,20,50,20,45,5,5,Aprobado,Privado
135,2019,Masculino,Soyapango,21,7.91,Ingeniería Mecatrónica,Facultad de Ingenieria,7.0,55,30,35,25,20,5,7,Aprobado,Público
136,2020,Femenino,Soyapango,19,7.81,Técnico en Ingeniería Biomédica,Facultad de Ingenieria,8.0,80,35,60,65,85,5,12,Aprobado,Privado
137,2020,Masculino,Soyapango,20,7.8,Ingeniería Mecánica,Facultad de Ingenieria,7.6,95,10,25,90,30,5,8,Aprobado,Privado
138,2020,Masculino,Soyapango,20,7.78,Ingeniería en Ciencias de la Computación,Facultad de Ingenieria,7.3,35,20,25,80,55,5,7,Aprobado,Público
139,2020,Femenino,Soyapango,20,7.56,Técnico en Ingeniería en Computación,Facultad de Ingenieria,7.5,55,30,25,90,15,5,9,Aprobado,Público
140,2020,Femenino,Soyapango,19,7.58,Ingeniería Industrial,Facultad de Ingenieria,7.4,80,10,35,40,50,5,8,Aprobado,Privado
141,2020,Masculino,Soyapango,19,8.26,Ingeniería Mecatrónica,Facultad de Ingenieria,7.9,95,55,75,95,60,5,12,Aprobado,Privado
142,2020,Femenino,Soyapango,20,6.24,Técnico en Ortesis y Prótesis,Facultad de CC. de la Rehabilitación,7.0,20,20,15,80,35,5,3,Aprobado,Privado
143,2020,Masculino,Soyapango,19,8.38,Técnico en Desarrollo de Aplicaciones Móviles,Facultad de Ingenieria,8.3,90,60,35,95,95,5,9,Aprobado,Privado
144,2020,Femenino,Soyapango,22,6.39,Licenciatura en Contaduría Pública,Facultad de CC. Económicas,7.8,70,35,40,20,15,5,10,Aprobado,Privado
145,2020,Femenino,Soyapango,20,8.48,Técnico en Ingeniería Biomédica,Facultad de Ingenieria,9.0,75,90,85,65,60,5,1,Aprobado,Público
146,2020,Femenino,Soyapango,19,8.03,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,8.1,80,80,75,5,35,5,5,Aprobado,Público
147,2020,Femenino,Soyapango,20,7.73,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,7.8,55,35,70,75,55,5,2,Aprobado,Público
148,2020,Femenino,Soyapango,20,3.7,Técnico en Ingeniería en Computación,Facultad de Ingenieria,7.3,25,25,10,95,55,5,9,Aprobado,Público
149,2020,Femenino,Soyapango,20,6.05,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,7.9,75,15,10,80,15,5,7,Aprobado,Privado
150,2020,Femenino,Soyapango,20,6.21,Ingeniería Industrial,Facultad de Ingenieria,7.5,20,60,50,95,45,5,1,Aprobado,Privado
151,2020,Masculino,Soyapango,20,8.38,Ingeniería Biomédica,Facultad de Ingenieria,8.2,95,70,60,90,70,5,7,Aprobado,Privado
152,2020,Masculino,Soyapango,21,6.6,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,7.8,50,5,20,40,30,5,8,Aprobado,Público
153,2020,Femenino,Soyapango,19,6.6,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,8.8,35,55,65,90,60,5,3,Aprobado,Privado
154,2020,Femenino,Soyapango,21,7.91,Licenciatura en Administración de Empresas,Facultad de CC. Económicas,7.8,80,10,5,60,50,5,6,Aprobado,Público
155,2020,Femenino,Soyapango,19,3.25,Técnico en Ortesis y Prótesis,Facultad de CC. de la Rehabilitación,7.0,10,40,10,30,20,5,9,Aprobado,Privado
156,2020,Masculino,Soyapango,21,4.71,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,7.5,15,5,10,10,35,5,9,Aprobado,Público
157,2021,Masculino,Soyapango,19,7.84,Licenciatura en Contaduría Pública,Facultad de CC. Económicas,7.2,35,20,30,100,35,5,7,Aprobado,Público
158,2021,Masculino,Soyapango,19,7.73,Licenciatura en Contaduría Pública,Facultad de CC. Económicas,8.8,50,15,45,90,35,5,3,Aprobado,Privado
159,2021,Femenino,Soyapango,19,1.0,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,7.8,90,85,90,95,75,5,0,Aprobado,Privado
160,2021,Masculino,Soyapango,20,8.15,Licenciatura en Contaduría Pública,Facultad de CC. Económicas,9.1,90,5,45,100,25,5,0,Aprobado,Privado
161,2021,Masculino,Soyapango,19,7.5,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,8.2,15,5,5,95,10,5,0,Aprobado,Público
162,2021,Femenino,Soyapango,19,8.08,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,8.7,85,25,25,95,35,5,0,Aprobado,Privado
163,2021,Femenino,Soyapango,18,1.0,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,7.3,20,10,10,85,15,5,0,Aprobado,Privado
164,2021,Femenino,Soyapango,20,7.76,Licenciatura en Mercadotecnia,Facultad de CC. Económicas,8.3,70,10,30,75,15,5,0,Aprobado,Privado
165,2021,Masculino,Soyapango,34,4.2,Técnico en Mantenimiento Aeronáutico,Facultad de Aeronáutica,8.5,75,5,15,70,50,5,0,Aprobado,Público
